Year,Quarter1,Quarter2
2015,0.12916666666666665,0.14062499999999997
2014,0.13839285714285712,0.12976190476190472
2012,0.13617886178861782,0.12749999999999997
2013,0.12140804597701146,0.12140804597701146
2016,0.11491935483870964,0.11491935483870964
2009,0.11442786069651739,0.11624472573839659
2010,0.11624472573839659,0.1178431372549019
2011,0.11240740740740736,0.11281362007168454
Year,Quarter1,Quarter2
2015,0.12916666666666665,0.14062499999999997
2014,0.13839285714285712,0.12976190476190472
2012,0.13617886178861782,0.12749999999999997
2013,0.12140804597701146,0.12140804597701146
2016,0.11491935483870964,0.11491935483870964
2009,0.11442786069651739,0.11624472573839659
2010,0.11624472573839659,0.1178431372549019
2011,0.11240740740740736,0.11281362007168454
